지역,링크아이디,도로명,평균속도
서울특별시 종로구,1000014403,삼청로,19.7
서울특별시 종로구,1000014500,창덕궁1길,12
서울특별시 종로구,1000014600,창덕궁1길,11.3
서울특별시 종로구,1000014700,북촌로5길,15.4
서울특별시 종로구,1000014800,북촌로5길,12.3
서울특별시 종로구,1000014901,동망산길,28.3
서울특별시 종로구,1000014902,동망산길,18.7
서울특별시 종로구,1000015001,지봉로,35.9
서울특별시 종로구,1000015002,동망산길,16.7
서울특별시 종로구,1000015101,효자로,18.4
서울특별시 종로구,1000015102,효자로,21
서울특별시 종로구,1000015103,효자로,21.6
서울특별시 종로구,1000015201,효자로,20.9
서울특별시 종로구,1000015202,효자로,36.3
서울특별시 종로구,1000015203,효자로,17.5
서울특별시 종로구,1000015301,자하문로,13.3
서울특별시 종로구,1000015302,자하문로,20.6
서울특별시 종로구,1000015303,자하문로,24.7
서울특별시 종로구,1000015401,자하문로,16.3
서울특별시 종로구,1000015402,자하문로,22.3
서울특별시 종로구,1000015403,자하문로,20.8
서울특별시 종로구,1000015501,창경궁로,6.6
서울특별시 종로구,1000015502,창경궁로,20.3
서울특별시 종로구,1000015503,창경궁로,25.7
서울특별시 종로구,1000015602,창경궁로,18
서울특별시 종로구,1000015603,창경궁로,27.5
서울특별시 종로구,1000015700,북촌로5길,18.5
서울특별시 종로구,1000015800,북촌로5길,19.6
서울특별시 종로구,1000015901,대학로,19.3
서울특별시 종로구,1000015902,대학로,18.6
서울특별시 종로구,1000015903,대학로,15.9
서울특별시 종로구,1000016001,대학로,27.1
서울특별시 종로구,1000016002,대학로,19.4
서울특별시 종로구,1000016003,대학로,14.6
서울특별시 종로구,1000016101,낙산길,15.8
서울특별시 종로구,1000016102,낙산길,16.8
서울특별시 종로구,1000016201,낙산길,18.5
서울특별시 종로구,1000016202,낙산길,16
서울특별시 종로구,1000016301,삼청로,12.6
서울특별시 종로구,1000016302,삼청로,21.3
서울특별시 종로구,1000016401,삼청로,13.7
서울특별시 종로구,1000016402,삼청로,23.1
서울특별시 종로구,1000016500,청와대로,13.8
서울특별시 종로구,1000016600,청와대로,21
서울특별시 종로구,1000016701,지봉로,54.9
서울특별시 종로구,1000016801,지봉로,48
서울특별시 종로구,1000016901,인왕산로,30.1
서울특별시 종로구,1000016902,인왕산로,31.5
서울특별시 종로구,1000016903,인왕산로,17.8
서울특별시 종로구,1000017001,인왕산로,30.9
서울특별시 종로구,1000017002,인왕산로,30.7
서울특별시 종로구,1000017003,인왕산로,23.8
서울특별시 종로구,1000017101,효자로,15.9
서울특별시 종로구,1000017102,효자로,11.4
서울특별시 종로구,1000017201,효자로,15.6
서울특별시 종로구,1000017202,효자로,7.2
서울특별시 종로구,1000017300,청와대로,20.1
서울특별시 종로구,1000017400,청와대로,22.1
서울특별시 종로구,1000017500,삼청로7길,12.5
서울특별시 종로구,1000017600,삼청로7길,16.4
서울특별시 종로구,1000017701,창경궁로,23.4
서울특별시 종로구,1000017801,창경궁로,18.5
서울특별시 종로구,1000017901,자하문로,8.6
서울특별시 종로구,1000017902,자하문로,17.8
서울특별시 종로구,1000018001,자하문로,16.6
서울특별시 종로구,1000018002,자하문로,14.9
서울특별시 종로구,1000018101,창의문로,18.6
서울특별시 종로구,1000018102,창의문로,20.8
서울특별시 종로구,1000018201,창의문로,11.9
서울특별시 종로구,1000018202,창의문로,20.9
서울특별시 종로구,1000018301,북촌로,11
서울특별시 종로구,1000018302,북촌로,14.5
서울특별시 종로구,1000018303,북촌로,15.8
서울특별시 종로구,1000018401,북촌로,14.9
서울특별시 종로구,1000018402,북촌로,16.6
서울특별시 종로구,1000018403,북촌로,15.4
서울특별시 종로구,1000018502,자하문로28길,12.8
서울특별시 종로구,1000018503,자하문로28길,15.5
서울특별시 종로구,1000018601,자하문로28길,17.4
서울특별시 종로구,1000018602,자하문로28길,17.9
서울특별시 종로구,1000018700,삼청로,20.7
서울특별시 종로구,1000018800,삼청로,22.5
서울특별시 종로구,1000018901,성균관로,14.1
서울특별시 종로구,1000018902,성균관로,14.4
서울특별시 종로구,1000018903,성균관로,13.2
서울특별시 종로구,1000019001,성균관로,16.3
서울특별시 종로구,1000019002,성균관로,14
서울특별시 종로구,1000019003,성균관로,15
서울특별시 종로구,1000019100,혜화로,15.5
서울특별시 종로구,1000019200,혜화로,17.3
서울특별시 종로구,1000019301,창경궁로,15
서울특별시 종로구,1000019302,창경궁로,18.6
서울특별시 종로구,1000019401,창경궁로,14.6
서울특별시 종로구,1000019402,창경궁로,27.7
서울특별시 종로구,1000019501,자하문로,12.4
서울특별시 종로구,1000019502,자하문로,30.4
서울특별시 종로구,1000019503,자하문로,28.9
서울특별시 종로구,1000019504,자하문로,47.5
서울특별시 종로구,1000019602,자하문로,19.2
서울특별시 종로구,1000019603,자하문로,35.9
서울특별시 종로구,1000019604,자하문로,40.1
